#time-us	inter1	inter2	sxr-Al	sxr-Zr	
1.397363E+2	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
1.397463E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.397563E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.397663E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.397763E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.397863E+2	7.507200E-4	-1.399846E-2	-6.248320E-3	-9.998720E-3
1.397963E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.398063E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.398163E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.398263E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.398363E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.398463E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.398563E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.398663E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.398763E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.398863E+2	3.875712E-3	-1.399846E-2	-6.248320E-3	-3.748736E-3
1.398963E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.399063E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.399163E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.399263E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.399363E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.399463E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.399563E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.399663E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.399763E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.399863E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
